playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8479526,2019,Otto Koivula,NYI,L,4on5,12,72,1,-0.46,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0.02,0.02,0.02,0.02,0,2,0,2,0,0,0,2,0,0,0.02,0,0,0,0,0,2,2,2,0.04,0,0,0.06,0.06,0.06,0,0.12,0,9,0,0,0,0,0,0
8479526,2019,Otto Koivula,NYI,L,5on4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8479982,2019,Conor Timmins,COL,D,other,2,31,0,0.58,0.48,0.81,0.67,0.31,0.5,0.44,8,0.68,0.03,0.06,0.11,0.02,0.58,0.21,0.03,0.03,0.03,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0.03,0,0,0,0,0,1,1,1,0,0.01,0,0,0.04,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0.68,0.03,0.03,0.03,0.03,1,0,1,2,0,0,0,1,0,0,0.03,0,0,0,0,0,2,1,1,0.01,0,0,0.04,0.04,0.04,0.65,0.03,0.03,0.03,0.03,1,0,0,1,0,0,0,1,0,0,0.03,0,0,0,0,0,1,1,1,0.02,0,0,0.05,0.05,0.05,1.51,0.35,4,9,0,0,0,0,0,0
8479982,2019,Conor Timmins,COL,D,all,2,1249,34,0.58,0.55,0.51,0.56,0.51,0.59,0.5,12,1.95,0.08,0.13,0.41,0.07,1.48,0.83,0.08,0.08,0.08,0,0,1,2,1,4,0,0,0,0,0,0,2,1,1,3,0,0,0,0,1,0,3,0,0,0.08,0,0,0,0,0,3.97,3,3.01,0,0.03,0,0,0.11,0.1,0.1,34,6,4,6,18,10,7,2,15,0,0,5951,0,0,0,0,13.74,1.05,1,1.04,1,14,5,5,24,2,1,1,15,3,1,0.42,0.33,0.3,0,1,1,24.11,19,19.18,0.19,0.3,0.3,0.94,0.92,0.91,9.12,0.85,0.84,0.87,0.86,9,4,6,19,0,1,0,9,4,0,0.32,0.53,0,0,0,0,18.84,13,12.84,0.16,0.19,0.19,0.82,0.84,0.83,5.6,5.36,94,91,0,0,0,0,0,0
8479982,2019,Conor Timmins,COL,D,5on5,2,1141,31,0.58,0.55,0.48,0.55,0.47,0.6,0.44,12,1.27,0.05,0.07,0.31,0.05,0.9,0.63,0.05,0.04,0.04,0,0,0,2,1,3,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,2,0,0,0.05,0,0,0,0,0,2.97,2,2.01,0,0.01,0,0,0.06,0.06,0.06,31,6,4,6,15,10,6,2,13,0,0,3927,0,0,0,0,13.06,1.02,0.97,1.01,0.97,13,5,4,22,2,1,1,14,3,1,0.38,0.33,0.3,0,1,1,22.11,18,18.18,0.18,0.3,0.3,0.89,0.88,0.87,8.48,0.82,0.81,0.84,0.82,8,4,6,18,0,1,0,8,4,0,0.29,0.53,0,0,0,0,17.84,12,11.84,0.14,0.19,0.19,0.77,0.79,0.78,2.13,2.3,57,65,0.05,0.04,1,2,1,2
8479982,2019,Conor Timmins,COL,D,4on5,2,73,2,0.58,0,0.06,0,0.11,0,0.13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,1,0,0,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,2.67,2,16,0,0,0,0,0,0
8479982,2019,Conor Timmins,COL,D,5on4,2,4,1,-0.07,0,1,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,0,17,0,0,0,0,0,0,0
8477810,2019,Joel Hanley,DAL,D,other,8,60,1,-0.88,1,0.28,1,0.36,1,0.38,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,454,0,0,0,0,0.75,0.02,0.02,0.02,0.02,1,0,0,1,0,0,0,1,0,0,0.02,0,0,0,0,0,1,1,1,0.01,0,0,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,1.9,8,14,0,0,0,0,0,0
8477810,2019,Joel Hanley,DAL,D,all,8,5451,149,1.4,0.5,0.53,0.5,0.53,0.52,0.53,48,4.75,0.09,0.26,1.36,0.15,3.01,2.13,0.09,0.09,0.09,1,1,4,3,3,10,2,0,0,0,1,0,2,4,4,7,3,6,0,3,0,5,7,0,0,0.09,0,0,0,0,0,10.32,7,7.21,4,0.05,0,0,0.14,0.14,0.14,149,14,12,19,104,22,23,13,91,0,0,23670,6,0,0,8,43.58,2.72,2.64,2.81,2.73,45,15,20,80,4,3,1,49,8,3,1.01,1,0.7,1,2,1,82.67,60,61.6,0.53,0.29,0.29,2.96,3.06,3,40.37,2.68,2.66,2.68,2.65,39,17,23,79,4,2,1,44,11,1,0.98,1.4,0.3,2,1,1,79.04,56,56.42,0.45,0.33,0.33,2.81,2.81,2.79,21.74,19.59,421,379,0,0,0,0,0,0
8477810,2019,Joel Hanley,DAL,D,5on5,8,5288,142,1.4,0.5,0.57,0.49,0.52,0.51,0.54,44,4.75,0.09,0.26,1.36,0.15,3.01,2.13,0.09,0.09,0.09,1,1,4,3,3,10,2,0,0,0,1,0,2,4,4,7,3,6,0,3,0,5,7,0,0,0.09,0,0,0,0,0,10.32,7,7.21,4,0.05,0,0,0.14,0.14,0.14,142,14,10,18,100,21,22,13,86,0,0,16300,6,0,0,8,42.04,2.69,2.61,2.79,2.7,43,15,19,77,4,3,1,47,8,3,0.99,1,0.7,1,2,1,79.67,58,59.6,0.52,0.29,0.29,2.92,3.03,2.97,40.37,2.68,2.66,2.68,2.65,39,17,23,79,4,2,1,44,11,1,0.98,1.4,0.3,2,1,1,79.04,56,56.42,0.45,0.33,0.33,2.81,2.81,2.79,12.22,9.23,276,255,0.17,0.06,8,4,3,3
