gameId,team,season,name,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playoffGame
2019020205,NYR,2019,NYR,NYR,NSH,AWAY,2019-11-02,Team Level,all,0.4456,0.4435,0.4592,3600.0,32.283,2.5340000000000003,2.373,6.974,0.9470000000000001,18.633,13.539000000000001,2.488,2.738,2.69,30.0,15.0,10.0,55.0,2.0,0.0,0.0,5.0,2.0,15.0,21.0,28.0,43.0,6.0,15.0,24.0,14.0,8.0,8.0,37.0,5.0,3.0,0.872,0.795,0.867,0.0,2.0,0.0,59.153,45.0,48.136,4.0,0.512,0.0,0.0,3.0460000000000003,3.279,3.2230000000000003,36.676,3.153,2.7089999999999996,7.704,1.194,22.366,15.874,3.0780000000000003,3.0060000000000002,2.9339999999999997,33.0,20.0,16.0,69.0,1.0,1.0,0.0,4.0,0.0,26.0,21.0,32.0,52.0,5.0,13.0,18.0,22.0,9.0,14.0,41.0,9.0,3.0,1.49,0.91,0.754,0.0,1.0,0.0,64.997,53.0,50.081,6.0,0.591,0.26899999999999996,0.26899999999999996,3.475,3.32,3.27,0
2019020221,NYR,2019,NYR,NYR,OTT,HOME,2019-11-04,Team Level,all,0.2759,0.5446,0.4943,3600.0,30.514,2.441,2.048,7.062,0.992,17.572,12.886,2.363,2.32,2.248,34.0,9.0,18.0,61.0,2.0,1.0,0.0,12.0,2.0,11.0,15.0,32.0,41.0,10.0,26.0,38.0,18.0,7.0,16.0,34.0,7.0,2.0,0.9790000000000001,0.861,0.601,2.0,0.0,0.0,56.882,43.0,40.704,7.0,0.445,0.308,0.308,2.5780000000000003,2.437,2.377,34.071,6.407,2.6180000000000003,7.654,1.209,15.219000000000001,10.892999999999999,5.821000000000001,6.716,6.1160000000000005,30.0,14.0,7.0,51.0,6.0,7.0,2.0,8.0,1.0,8.0,14.0,24.0,38.0,8.0,22.0,31.0,24.0,4.0,10.0,22.0,11.0,11.0,0.5579999999999999,1.308,4.54,0.0,2.0,4.0,54.681000000000004,44.0,46.518,4.0,0.611,1.238,1.238,5.779,6.0329999999999995,5.563,0
2019020235,NYR,2019,NYR,NYR,DET,HOME,2019-11-06,Team Level,all,0.5339,0.43200000000000005,0.4375,3600.0,28.809,3.321,2.052,6.144,0.95,16.605,12.927999999999999,3.287,3.307,3.273,31.0,11.0,12.0,54.0,5.0,2.0,0.0,7.0,0.0,14.0,14.0,26.0,37.0,2.0,4.0,25.0,14.0,10.0,18.0,28.0,12.0,2.0,0.898,1.331,1.093,0.0,4.0,1.0,54.821999999999996,42.0,42.309,10.0,0.445,0.161,0.161,3.605,3.589,3.5589999999999997,37.257,2.8989999999999996,2.755,8.462,1.274,23.461,15.15,2.6210000000000004,2.925,2.6460000000000004,36.0,18.0,17.0,71.0,1.0,4.0,0.0,10.0,1.0,19.0,19.0,35.0,53.0,3.0,6.0,35.0,23.0,6.0,9.0,41.0,12.0,1.0,1.073,1.46,0.366,1.0,0.0,0.0,69.625,54.0,53.452,5.0,0.659,0.595,0.595,2.963,2.986,2.7510000000000003,0
2019020241,NYR,2019,NYR,NYR,CAR,AWAY,2019-11-07,Team Level,all,0.3964,0.2969,0.3178,3600.0,24.191999999999997,2.957,1.426,5.1370000000000005,0.774,12.957,10.75,2.937,3.0869999999999997,3.065,19.0,15.0,4.0,38.0,4.0,1.0,0.0,3.0,0.0,6.0,20.0,15.0,30.0,2.0,4.0,20.0,18.0,11.0,7.0,24.0,7.0,3.0,0.645,0.8640000000000001,1.4469999999999998,0.0,2.0,2.0,40.789,34.0,36.455,4.0,0.304,0.10099999999999999,0.10099999999999999,3.159,3.301,3.278,49.895,4.503,3.489,12.453,1.926,29.932,20.695999999999998,4.146,4.277,3.935,47.0,26.0,17.0,90.0,2.0,6.0,0.0,9.0,1.0,31.0,24.0,45.0,71.0,2.0,4.0,31.0,22.0,11.0,18.0,53.0,18.0,2.0,1.857,2.092,0.5539999999999999,2.0,0.0,0.0,85.20100000000001,73.0,69.222,8.0,0.746,1.0659999999999998,1.0659999999999998,4.183,3.975,3.7680000000000002,0
2019020263,NYR,2019,NYR,NYR,FLA,HOME,2019-11-10,Team Level,all,0.5445,0.4615,0.4839,3900.0,32.569,2.7319999999999998,2.124,7.0889999999999995,1.054,17.533,14.468,2.7060000000000004,2.685,2.659,34.0,11.0,9.0,54.0,5.0,2.0,0.0,9.0,1.0,10.0,18.0,29.0,40.0,4.0,11.0,13.0,25.0,11.0,15.0,34.0,9.0,2.0,1.143,1.139,0.45,3.0,2.0,0.0,54.012,45.0,45.263999999999996,6.0,0.46299999999999997,0.45,0.45,2.745,2.701,2.675,32.346,2.285,2.128,7.646,1.176,20.242,14.523,2.247,2.367,2.326,35.0,13.0,15.0,63.0,5.0,1.0,1.0,3.0,0.0,22.0,17.0,30.0,43.0,5.0,13.0,41.0,28.0,13.0,22.0,42.0,4.0,2.0,0.961,0.424,0.9,1.0,2.0,2.0,63.652,48.0,48.479,7.0,0.47100000000000003,0.405,0.405,2.351,2.406,2.392,0
2019020274,NYR,2019,NYR,NYR,PIT,HOME,2019-11-12,Team Level,all,0.4487,0.4393,0.4324,3744.0,23.451999999999998,1.984,1.55,5.401,0.723,12.925999999999998,9.416,1.926,1.9169999999999998,1.861,27.0,5.0,15.0,47.0,3.0,1.0,0.0,5.0,0.0,12.0,11.0,24.0,29.0,3.0,6.0,22.0,29.0,10.0,22.0,24.0,6.0,2.0,0.711,0.792,0.48100000000000004,1.0,2.0,0.0,46.464,32.0,31.676,11.0,0.326,0.263,0.263,2.0469999999999997,1.9809999999999999,1.966,29.921999999999997,2.438,1.775,6.851,0.9640000000000001,16.499000000000002,13.472000000000001,2.401,2.516,2.478,32.0,10.0,18.0,60.0,2.0,1.0,0.0,5.0,0.0,18.0,16.0,30.0,40.0,2.0,4.0,23.0,37.0,8.0,18.0,33.0,5.0,4.0,0.795,0.54,1.103,1.0,0.0,1.0,60.343,42.0,42.299,13.0,0.386,0.087,0.087,2.737,2.822,2.7889999999999997,0
2019020287,NYR,2019,NYR,NYR,T.B,AWAY,2019-11-14,Team Level,all,0.414,0.3652,0.3478,3600.0,22.291999999999998,3.014,1.506,4.715,0.698,11.537,9.596,2.958,2.963,2.909,23.0,9.0,10.0,42.0,3.0,2.0,1.0,7.0,1.0,6.0,13.0,20.0,29.0,9.0,23.0,28.0,22.0,3.0,2.0,23.0,5.0,4.0,0.6,0.69,1.723,1.0,0.0,2.0,39.567,32.0,31.086,1.0,0.361,0.44,0.44,2.87,2.826,2.824,40.996,4.2669999999999995,3.17,9.288,1.4040000000000001,25.351999999999997,16.52,4.04,4.324,4.0969999999999995,45.0,15.0,13.0,73.0,9.0,3.0,0.0,8.0,1.0,12.0,27.0,36.0,51.0,7.0,17.0,38.0,18.0,8.0,5.0,43.0,14.0,3.0,1.444,1.7990000000000002,1.024,5.0,4.0,0.0,78.49,60.0,61.826,2.0,0.74,1.024,1.024,3.9819999999999998,4.05,3.951,0
2019020306,NYR,2019,NYR,NYR,FLA,AWAY,2019-11-16,Team Level,all,0.5329,0.4771,0.4938,3600.0,27.458000000000002,3.2510000000000003,1.936,6.417000000000001,1.036,16.525,10.835999999999999,3.111,3.324,3.18,33.0,7.0,12.0,52.0,3.0,4.0,0.0,10.0,1.0,11.0,11.0,30.0,37.0,4.0,8.0,30.0,18.0,10.0,9.0,30.0,6.0,4.0,1.041,0.677,1.5319999999999998,2.0,1.0,0.0,52.681000000000004,40.0,40.486,4.0,0.449,0.73,0.73,2.969,3.0180000000000002,2.94,30.289,2.85,1.817,6.77,0.965,15.475,13.123,2.685,2.7880000000000003,2.6310000000000002,30.0,11.0,16.0,57.0,4.0,4.0,0.0,7.0,0.0,12.0,14.0,26.0,37.0,2.0,4.0,32.0,15.0,9.0,11.0,26.0,13.0,2.0,0.8190000000000001,1.495,0.536,3.0,1.0,0.0,56.658,41.0,41.088,5.0,0.387,0.86,0.86,2.376,2.335,2.273,0
2019020332,NYR,2019,NYR,NYR,WSH,HOME,2019-11-20,Team Level,all,0.602,0.4364,0.4556,3600.0,29.107,3.7880000000000003,2.024,5.711,0.887,16.711,11.879000000000001,3.637,3.7760000000000002,3.6260000000000003,31.0,10.0,7.0,48.0,4.0,2.0,0.0,6.0,0.0,14.0,15.0,27.0,37.0,4.0,11.0,21.0,27.0,12.0,10.0,29.0,8.0,4.0,0.968,0.972,1.848,2.0,2.0,0.0,49.238,41.0,41.516000000000005,4.0,0.429,0.6709999999999999,0.6709999999999999,3.545,3.532,3.508,34.604,2.504,2.2119999999999997,8.037,1.1740000000000002,19.632,15.44,2.4619999999999997,2.54,2.497,31.0,18.0,13.0,62.0,1.0,3.0,0.0,10.0,1.0,23.0,11.0,30.0,48.0,4.0,11.0,28.0,29.0,9.0,12.0,41.0,6.0,2.0,0.8909999999999999,0.691,0.922,0.0,0.0,1.0,61.585,49.0,48.611999999999995,4.0,0.504,0.247,0.247,2.762,2.803,2.764,0
2019020347,NYR,2019,NYR,NYR,OTT,AWAY,2019-11-22,Team Level,all,0.3087,0.4722,0.4333,3600.0,27.445,1.8519999999999999,1.87,6.8,0.965,15.634,11.878,1.729,1.8159999999999998,1.6969999999999998,31.0,8.0,12.0,51.0,1.0,3.0,1.0,5.0,1.0,13.0,16.0,30.0,38.0,4.0,8.0,25.0,24.0,2.0,4.0,34.0,2.0,3.0,0.81,0.27899999999999997,0.763,1.0,0.0,0.0,47.95399999999999,39.0,37.598,3.0,0.396,0.5539999999999999,0.5539999999999999,1.695,1.67,1.645,37.59,4.148,2.722,8.508,1.273,20.059,14.290999999999999,3.8560000000000003,4.1819999999999995,3.889,39.0,12.0,6.0,57.0,4.0,5.0,0.0,5.0,0.0,19.0,18.0,35.0,47.0,3.0,8.0,30.0,21.0,7.0,14.0,33.0,13.0,5.0,1.23,1.6680000000000001,1.25,3.0,1.0,0.0,60.232,51.0,52.685,11.0,0.611,1.13,1.13,3.628,3.66,3.573,0
